zip3,Longitude_avg,Latitude_avg,n_screened,n_positive,positivity
916,-118.3357584,33.955812556,19638,1368,6.97
917,-117.730395,34.042065708,677808,32832,4.84
918,-118.2523586,33.870905429,2751,126,4.58
919,-116.8177155,32.81739661,76383,4018,5.26
920,-116.9837354,33.095889484,195008,8000,4.1
921,-116.9945815,32.890546082,290615,15130,5.21
922,-115.9006816,33.604624729,198004,6490,3.28
923,-116.7637936,34.554312384,189581,9709,5.12
924,-116.5362057,34.53086955,9180,500,5.45
925,-116.7856413,33.752891864,257240,10266,3.99
926,-117.778333,33.633396145,169198,5704,3.37
927,-117.8207387,33.693845,19242,774,4.02
928,-117.7418174,33.754639783,212280,8760,4.13
930,-119.1331434,34.185006674,98599,4515,4.58
931,-119.8117147,34.34276381,11949,546,4.57
932,-119.2124822,35.890272151,355364,19418,5.46
933,-118.9655171,35.295725292,28392,1032,3.63
934,-120.5394802,35.208298528,69218,5247,7.58
935,-118.1037226,35.416005554,123200,4088,3.32
936,-119.7168434,36.840565234,59712,2880,4.82
937,-119.678521,36.752662018,127965,5301,4.14
939,-121.522676,36.462406467,25050,720,2.87
940,-122.2306847,37.412936088,142614,5016,3.52
941,-122.6107331,37.776601423,227981,13561,5.95
943,-122.0527571,37.3468303,4730,100,2.11
944,-122.3156575,37.474439364,3828,132,3.45
945,-122.0607127,37.934134297,867321,42861,4.94
946,-122.1201917,37.752894938,49120,2368,4.82
947,-122.2453683,37.85738425,4968,144,2.9
948,-122.1442465,37.8638093,11930,440,3.69
949,-122.7073366,38.11715625,70616,3360,4.76
950,-121.8286249,37.098883767,137280,5760,4.2
951,-121.7783138,37.246192556,272979,13671,5.01
952,-120.981367,38.070062667,209790,9288,4.43
953,-120.6747396,37.636728494,309339,11907,3.85
954,-123.059546,38.846771935,142681,5852,4.1
955,-123.8332624,40.655663944,19062,540,2.83
956,-121.277319,38.630911872,1197654,78960,6.59
957,-121.039308,38.848866129,150846,10447,6.93
958,-121.4404483,38.511978659,412192,24200,5.87
959,-121.5115306,39.498702449,489762,17394,3.55
960,-122.250012,40.858390519,127170,2592,2.04
961,-120.2804676,39.886337111,14256,864,6.06
967,-157.253895,20.502724371,6141,712,11.59
968,-165.430677,23.940957679,2296,224,9.76
970,-122.2547469,45.451134169,41925,2275,5.43
971,-123.4742024,45.528887295,5324,264,4.96
972,-122.5682785,45.436283803,101706,7062,6.94
973,-123.1636682,44.758870122,137788,6290,4.56
974,-123.4374397,43.555172528,18779,1335,7.11
975,-122.9355164,42.580882036,1820,84,4.62
977,-120.5827986,43.810530882,9962,238,2.39
978,-118.6309542,45.190582351,399,114,28.57
980,-122.0550477,47.52883031,27335,2059,7.53
981,-122.1423179,47.5395082,14100,2460,17.45
982,-122.2559085,48.360664117,672287,73766,10.97
983,-122.670712,47.455537427,84952,7380,8.69
984,-122.3301608,47.142852633,14798,637,4.3
985,-123.2152164,46.927458169,38731,4004,10.34
986,-122.4813408,45.920718646,23790,2275,9.56
988,-119.9000828,47.875633696,460,92,20
989,-120.5829716,46.692976,4320,72,1.67
991,-117.9883259,47.794142116,276,138,50
992,-117.4134542,47.662566241,232,29,12.5
993,-118.9963577,46.395556641,24063,507,2.11
995,-154.2688167,59.961849159,4140,552,13.33
997,-153.2703026,65.689879378,4838,164,3.39
998,-134.8359234,58.031735579,1311,228,17.39
999,-132.22599,55.700148154,4797,546,11.38
