zip3,Longitude_avg,Latitude_avg,n_screened,n_positive,positivity
169,-77.25444359,41.831475324,2414,102,4.23
170,-77.03428031,40.392468568,36195,1710,4.72
171,-76.85854892,40.282321269,650,130,20
172,-77.77508091,39.996113182,92400,4730,5.12
173,-76.86453916,39.905042793,76328,2784,3.65
174,-76.68514663,39.965134375,10248,352,3.43
175,-76.24759,40.05195029,103912,5952,5.73
176,-76.30620744,40.042981889,9873,495,5.01
177,-77.08741806,41.289434358,13356,1113,8.33
180,-75.46582144,40.645480822,8249,146,1.77
183,-75.22712844,41.095851829,861,41,4.76
184,-75.39895522,41.556372328,638,58,9.09
189,-75.15702216,40.334011581,102176,3596,3.52
190,-75.21835776,40.018213812,141780,4675,3.3
191,-75.15029484,40.002204127,170087,8295,4.88
193,-75.71137178,39.945534278,233496,5238,2.24
194,-75.45714049,40.164835,141440,3835,2.71
195,-75.89228953,40.407482878,21805,637,2.92
196,-75.93847907,40.357503533,675,30,4.44
197,-75.6194493,39.635302067,9990,240,2.4
198,-75.58817153,39.6837337,1920,90,4.69
199,-75.43543907,38.883829891,89608,2530,2.82
200,-77.01872936,38.900184773,34350,1725,5.02
201,-77.59302328,38.926767378,158670,4838,3.05
206,-76.72674584,38.400156471,48892,1088,2.23
207,-76.82855094,38.893700385,60762,2106,3.47
208,-77.16522904,39.118760965,95646,3135,3.28
209,-77.09716582,39.076109471,15487,595,3.84
210,-76.57427242,39.364569952,35898,744,2.07
211,-76.6580982,39.396280914,52850,700,1.32
212,-76.61071245,39.31088897,7035,469,6.67
215,-78.96396243,39.584610033,390,30,7.69
216,-76.02803808,38.858851324,2272,142,6.25
217,-77.49790038,39.493719928,253023,11661,4.61
218,-75.63431817,38.26758213,184,46,25
219,-75.96560965,39.561013294,374,34,9.09
220,-77.29181803,38.837265758,42240,990,2.34
221,-77.29200103,38.797750351,39923,1184,2.97
222,-77.0984203,38.875276848,48609,1320,2.72
223,-77.17883783,38.768962435,15939,575,3.61
224,-77.06213968,38.117398,20292,152,0.75
225,-76.97993128,38.032733419,9288,43,0.46
226,-78.20046789,39.004042306,8784,396,4.51
229,-78.57372076,38.034294431,51,51,100
231,-77.02431554,37.538947508,378,63,16.67
232,-77.48668976,37.537425759,1080,54,5
233,-75.94465068,37.383087925,5680,200,3.52
234,-76.01696809,37.232013246,99710,2340,2.35
235,-76.25027552,36.9047746,1375,50,3.64
236,-76.44621053,37.084695294,3944,102,2.59
237,-76.344005,36.8414135,160,8,5
238,-77.38991352,36.973444984,10614,244,2.3
240,-80.05194189,37.198988638,560,160,28.57
242,-82.46759631,36.858125788,111644,6552,5.87
243,-81.13986044,36.829837442,9202,516,5.61
246,-81.80395882,37.210114353,6086,408,6.7
248,-81.62092986,37.455767736,432,72,16.67
254,-78.053824,39.394739333,24840,999,4.02
255,-82.07363413,38.313224933,1440,45,3.13
256,-82.04470553,37.757363291,4895,55,1.12
257,-82.30246718,38.40624205,1040,40,3.85
258,-81.21630383,37.789276885,832,104,12.5
262,-80.05940926,38.768035685,6804,216,3.17
263,-80.52715282,39.190466769,78,39,50
268,-78.99631632,38.96990608,150,25,16.67
270,-80.3945182,36.23741335,9680,240,2.48
273,-79.64788987,35.94842863,5842,184,3.15
275,-78.5734808,35.8896899,58400,320,0.55
276,-78.66073042,35.812380356,32490,405,1.25
277,-78.88813731,36.021974188,1808,16,0.88
280,-81.01355362,35.358099133,240,60,25
283,-78.98881733,34.988660874,56637,2784,4.92
284,-78.20252147,34.302167,6336,128,2.02
285,-77.16293586,35.017449178,80154,3066,3.83
286,-81.36979509,36.060133989,69460,2300,3.31
287,-82.68024393,35.445361727,1672,88,5.26
290,-80.8334966,33.960189151,14151,318,2.25
291,-80.88446298,33.898810596,2394,228,9.52
293,-81.86791414,34.851360607,5544,280,5.05
294,-80.09186363,32.964738096,63875,1533,2.4
295,-79.44027925,34.066352597,13968,504,3.61
296,-82.5625719,34.684021079,172927,5785,3.35
300,-84.18279591,33.875437091,76560,4136,5.4
301,-84.87520549,34.016745892,173604,9842,5.67
302,-84.47171691,33.336553942,304290,20148,6.62
303,-84.40750018,33.822712067,86580,6570,7.59
305,-83.71489452,34.515356,4899,213,4.35
307,-85.09694358,34.725435237,380,38,10
310,-83.45647524,32.579295022,156611,3094,1.98
312,-83.66102,32.743392292,4080,120,2.94
313,-81.48570876,31.877347966,116,29,25
315,-82.17164794,31.375786827,1456,104,7.14
317,-84.13378349,31.424470082,1164,194,16.67
318,-84.72302296,32.521120741,5562,243,4.37
319,-84.92042329,32.485192647,6069,272,4.48
320,-82.12433979,30.157925544,15732,1140,7.25
321,-81.44014996,29.278281912,10540,612,5.81
322,-81.63797034,30.305873196,4480,280,6.25
324,-85.5046387,30.460735228,9177,342,3.73
325,-87.05440654,30.582542716,666,74,11.11
326,-82.46324312,29.595403121,928,58,6.25
327,-81.27396997,28.756220135,6068,148,2.44
328,-81.28818523,28.520516629,20398,372,1.82
329,-80.60986511,28.043598673,52855,2145,4.06
330,-80.45232273,25.769802187,18450,525,2.85
331,-80.301245,25.738396083,34524,1092,3.16
333,-80.3134598,26.171795347,2156,147,6.82
334,-80.26181176,26.633069793,249280,12136,4.87
336,-82.45701679,27.933041581,3844,124,3.23
337,-82.73036266,27.872115742,5332,186,3.49
339,-81.9080988,26.709128083,3420,60,1.75
341,-81.61367081,26.148918406,1664,64,3.85
342,-82.42924189,27.313211438,5824,128,2.2
344,-82.31359394,29.014003104,240,48,20
346,-82.59432423,28.296632233,559,43,7.69
347,-81.57150783,28.49767719,4158,126,3.03
349,-80.41667597,27.303644576,5280,165,3.13
351,-86.63623618,33.48877178,450,100,22.22
354,-87.73021189,33.143796957,1426,92,6.45
359,-85.94502286,34.287337857,5712,546,9.56
360,-86.14752515,32.147404561,8382,264,3.15
